tweet,class,date_posted
If you are heading to  and beyond going SB on I-69/ US 59 - multiple lanes will be closed immediately for emergency road repair. Seek alt route and avoid the area. Closure may last until morning hours. HOUTraffic,0,2017-12-13 23:22:50+00:00
"Due to bridge repairs, TxDOT has closed two alternate mainlanes of I-45 Gulf Frwy NB at Tiki Dr (near the Galveston Causeway). Work will continue until mid-March. ",0,2017-12-13 01:35:30+00:00
Good news. All mainlanes of I-45 N Frwy NB between I-10 and Quitman now open following emergency repair work. I-10 WB at I-45 still closed until 5am Monday. ,0,2017-12-04 02:46:13+00:00
I-45 Northbound direct connector project continues as crews prepare for major closure this weekend. The I-45 Gulf NB connector to I-69 Eastex NB will be closed until June 2018. More info at ,0,2017-12-01 14:49:35+00:00
Two incident on I-10 Katy Frwy are significantly impacting traffic west of downtown Houston. I-10 Katy WB at N. Post Oak all mainlanes still closed due to hazmat incident and I-10 Katy EB at Houston Ave. all mainlanes close due to lost load. HOUTraffic,0,2017-11-28 22:18:29+00:00
Crews continue to offload material from heavy truck. All mainlanes of I-10 Katy WB at N. Post Oak remain closed. Expect delays. Seek alt. route. ,0,2017-11-28 20:04:58+00:00
Update on I-10 Katy WB at N. Post Oak: all mainlanes remain closed due to heavy truck/ hazmat incident. Crews anticipate the clean up to take 3-5 hours. Seek alternate route. ,0,2017-11-28 16:45:21+00:00
This WKND: I-45 N. Frwy NB from I-10 and Quitman will be closed on Sunday from 5am to 7pm. More info at ,0,2017-10-13 14:25:18+00:00
This WKND: I-45 North Frwy NB at IH 10 to Quitman to be closed Saturday from 5am to 7pm. Use I-610 as a detour. ,0,2017-10-12 14:19:30+00:00
Heads up! The connector ramp from I-45 Gulf Freeway northbound to I-610 South Loop westbound will be closed this weekend. ,0,2017-10-05 19:36:51+00:00
Multiple mainlanes blocked at this location. Two lanes open. Gulf Bank SB exit closed. ,0,2017-10-03 13:46:48+00:00
Elysian Viaduct demolition going very well. I-10 EB/WB between 45 and 59/69 remains closed until Monday at 5am. ,0,2017-09-24 18:43:18+00:00
Work continues on demo of the Elysian Bridge over IH 10 in downtown Houston. All mainlanes of IH 10 EB/WB closed 45 to 69 thru Mon 5am. ,0,2017-09-23 13:36:53+00:00
REMINDER: This WKND I-10 between I-45 and I-69 in will be closed at 9pm tonight until 5am Mon. More info ,0,2017-09-22 16:37:27+00:00
This WKND I-10 Katy/ East Frwy will be closed EB and WB between I-45 and I-69 in downtown Houston 9pm Friday - 5am Monday. ,0,2017-09-20 16:01:42+00:00
This WKND I-10 Katy/ East Frwy will be closed both EB and WB between I-45 and I-69 in downtown Houston. ,0,2017-09-19 20:40:43+00:00
Traffic Alert: IH 45 Gulf Frwy NB between FM 517 and FM 518 all mainlanes will be closed for road work Fri. 9pm until Mon. 5am. ,0,2017-09-14 21:40:27+00:00
 The IH 45 NB exit to Memorial Drive was closed due to issues with high water. The exit will be reopened when safe to do so.,0,2017-09-11 14:17:18+00:00
This WKND: IH 45 Gulf Freeway SB between FM 518 to FM 517 in  two alternate lanes closed for road work Fri at 9pm to Mon 5am. ,0,2017-09-07 15:19:07+00:00
SH 332 closed today between Brazoria and Lake Jackson in  Only way across Brazos River west side is via FM 2004 to SH 36,0,2017-09-02 00:59:11+00:00
Putting out barricades on FM 524 at SH 35. SH 35 now closed from  line to SH 288. Detour FM 2611 to FM 457.,0,2017-09-02 00:54:52+00:00
US 59/ IH 69 Eastex NB at the San Jacinto River all frontage road lanes now open. Mainlanes remain closed. SB mainlanes/ frontage closed. ,0,2017-08-31 18:59:51+00:00
SH 146 at Fred Hartman Bridge in both directions has been closed due to chemical leak from plant nearby. ,0,2017-08-28 22:31:33+00:00
Crews making progress on removal of sign bridge and overturned heavy truck on IH 610 E. Loop NB at Market. All mainlanes still closed. ,0,2017-08-25 02:15:56+00:00
Update on IH 10 East Frwy incident at Dell Dale. Multiple WB mainlanes have opened. All EB mainlanes remain closed.,0,2017-08-23 20:33:02+00:00
Update: IH 10 in both directions at Dell Dale remain closed due to hazmat/ fatal truck crash. Will impact PM rush. Prepare for alt. route. ,0,2017-08-23 20:01:13+00:00
All mainlanes on both sides of IH 10 remain closed. This event could impact the evening rush. It may be a good idea to take an alt. route. ,0,2017-08-23 19:37:15+00:00
SH 225 WB at Center two mainlanes remain closed for repair. Concrete has been poured. Lanes expected to open this evening. ,0,2017-08-08 22:27:33+00:00
Emergency roadwork: SH 225 WB between East Blvd and Robin St. two left lanes closed. May take multiple hours to fix. ,0,2017-08-08 14:54:06+00:00
Truck has been uprighted and all mainlanes of IH 69 SB now open. Ramp is still closed. ,0,2017-07-24 15:06:20+00:00
A right mainlane will remain closed during this time. ,0,2017-07-18 13:42:02+00:00
Reminder IH 10 E. Frwy EB at Gellhorn all mainlanes closed for road work until 5am Monday. Seek alt. route. ,0,2017-07-15 15:15:01+00:00
WKND CLOSURE: IH 10 East Frwy EB at Gellhorn all mainlanes to be closed Fri. July 14 at 9pm until July 17 at 5am. ,0,2017-07-12 19:59:15+00:00
Crews working to clear hazmat incident on IH 45 North Frwy SB at FM 1960. Hope to open closed lanes very soon. ,0,2017-07-11 20:21:35+00:00
All TxDOT offices closed for the Fourth of July Holiday. Have fun and stay safe. Remember to not drink and drive. ,0,2017-07-04 14:30:38+00:00
Crews are making an emergency repair on Pierce St. bridge over IH 69/ US 59 in downtown Houston. One SB lane mainlanes closed. ,0,2017-06-29 20:54:38+00:00
SH 288 SB at SH 6 incident within work zone has delayed pick up of closure. All mainlanes to remain closed for at least and hour. ,0,2017-06-29 10:22:57+00:00
This WKND: IH 45 Gulf Frwy NB at Scarsdale all mainlanes closed for road work starting tonight at 9pm. More info at ,0,2017-06-23 18:31:52+00:00
All mainlanes of SH 288 SB at CR 64 in Brazoria County blocked due fatal accident. PD expected to keep it closed most of morning. ,0,2017-06-19 11:57:49+00:00
